-118000 20000
-117000 20000
-116000 0
-115000 40000
-114000 60000
-113000 60000
-112000 80000
-111000 100000
-110000 140000
-109000 180000
-108000 180000
-107000 180000
-106000 180000
-105000 160000
-104000 180000
-103000 200000
-102000 240000
-101000 240000
-100000 240000
-99000 180000
-98000 140000
-97000 120000
-96000 120000
-95000 100000
-94000 100000
-93000 120000
-92000 140000
-91000 180000
-90000 200000
-89000 240000
-88000 280000
-87000 320000
-86000 360000
-85000 380000
-84000 280000
-83000 160000
-82000 100000
-81000 60000
-80000 40000
-79000 20000
-78000 20000
-77000 0
-76000 0
-75000 0
-74000 0
-73000 0
-72000 90000
-71000 119000
-70000 119000
-69000 179000
-68000 179000
-67000 269000
-66000 328000
-65000 418000
-64000 478000
-63000 507000
-62000 537000
-61000 555000
-60000 555000
-59000 545000
-58000 537000
-57000 425000
-56000 384000
-55000 343000
-54000 280000
-53000 260000
-52000 260000
-51000 240000
-50000 240000
-49000 240000
-48000 240000
-47000 220000
-46000 220000
-45000 220000
-44000 220000
-43000 220000
-42000 220000
-41000 240000
-40000 240000
-39000 240000
-38000 240000
-37000 240000
-36000 260000
-35000 260000
-34000 260000
-33000 260000
-32000 280000
-31000 280000
-30000 280000
-29000 300000
-28000 300000
-27000 300000
-26000 345000
-25000 400000
-24000 460000
-23000 535000
-22000 610000
-21000 715000
-20000 865000
-19000 990000
-18000 1075000
-17000 1090000
-16000 1085000
-15000 1025000
-14000 850000
-13000 560000
-12000 480000
-11000 500000
-10000 500000
-9000 420000
-8000 200000
-7000 80000
-6000 20000
-5000 0
-4000 0
-3000 0
-2000 0
-1000 0
0 0
